num_particulas,max_passos,passo_medicao,total_medicoes,nome_matriz,tam_matriz,tempo,coef_inicial,coef_final,tipo
10000,1000,10,100,matrix_1.txt,100,8.142645,0.145228,0.025140,vetorizado
10000,1000,10,100,matrix_1.txt,100,3205.178706,0.222690,0.040062,iterativo
10000,1000,10,100,matrix_2.txt,100,6.628634,0.237685,0.168582,vetorizado
10000,1000,10,100,matrix_2.txt,100,3239.261325,0.244680,0.180452,iterativo
10000,1000,10,100,matrix_3.txt,100,19.079675,0.224310,0.101589,vetorizado
10000,1000,10,100,matrix_3.txt,100,3226.687878,0.238362,0.108746,iterativo
10000,1000,10,100,matrix_4.txt,100,67.874788,0.216275,0.036575,vetorizado
10000,1000,10,100,matrix_4.txt,100,3284.901875,0.219100,0.038826,iterativo
10000,1000,10,100,matrix_5.txt,100,8.838375,0.102367,0.054566,vetorizado
10000,1000,10,100,matrix_5.txt,100,3244.608895,0.224510,0.116025,iterativo
10000,1000,10,100,matrix_1.txt,100,8.769188,0.145815,0.025062,vetorizado
1000,100,10,10,matrix_1.txt,100,0.725929,0.151925,0.110075,vetorizado
1000,100,10,10,matrix_1.txt,100,29.252055,0.222200,0.156310,iterativo
1000,100,10,10,matrix_2.txt,100,0.533134,0.231025,0.220448,vetorizado
1000,100,10,10,matrix_2.txt,100,32.687853,0.243375,0.226558,iterativo
1000,100,10,10,matrix_3.txt,100,1.880570,0.213275,0.194237,vetorizado
100,100,10,10,matrix_1.txt,100,0.124052,0.127500,0.081925,vetorizado
100,100,10,10,matrix_1.txt,100,2.837032,0.222500,0.185775,iterativo
100,100,10,10,matrix_2.txt,100,0.099092,0.179500,0.222725,vetorizado
100,100,10,10,matrix_2.txt,100,2.896845,0.253500,0.217450,iterativo
100,100,10,10,matrix_3.txt,100,0.198014,0.223750,0.179450,vetorizado
100,100,10,10,matrix_3.txt,100,3.276492,0.228500,0.231100,iterativo
100,100,10,10,matrix_4.txt,100,0.675994,0.230500,0.152725,vetorizado
100,100,10,10,matrix_4.txt,100,3.312692,0.221500,0.158225,iterativo
100,100,10,10,matrix_5.txt,100,0.120479,0.101250,0.103575,vetorizado
10000,1000,10,100,matrix_1.txt,100,1.385654,0.221470,0.039873,vetorizado
10000,1000,10,100,matrix_2.txt,100,1.394868,0.246258,0.178611,vetorizado
10000,1000,10,100,matrix_3.txt,100,1.294538,0.233775,0.110031,vetorizado
10000,1000,10,100,matrix_4.txt,100,1.412905,0.226095,0.038313,vetorizado
10000,1000,10,100,matrix_5.txt,100,1.427158,0.226955,0.113228,vetorizado
10000,1000,10,100,matrix_1.txt,100,1.349185,0.221733,0.039603,vetorizado
10000,1000,10,100,matrix_2.txt,100,1.398847,0.242310,0.175886,vetorizado
10000,1000,10,100,matrix_3.txt,100,1.309288,0.233277,0.108943,vetorizado
10000,1000,10,100,matrix_4.txt,100,1.234058,0.223568,0.039044,vetorizado
10000,1000,10,100,matrix_5.txt,100,1.273774,0.224990,0.116023,vetorizado
10000,10000,10,1000,matrix_1.txt,100,13.787768,0.225663,0.003983,vetorizado
10000,10000,10,1000,matrix_2.txt,100,14.162313,0.245370,0.051793,vetorizado
10000,10000,10,1000,matrix_3.txt,100,13.207903,0.232075,0.013918,vetorizado
10000,10000,10,1000,matrix_4.txt,100,12.831538,0.223678,0.003817,vetorizado
10000,10000,10,1000,matrix_5.txt,100,14.144122,0.228030,0.047309,vetorizado
10000,10000,10,1000,matrix_1.txt,100,13.447424,0.222860,0.003972,vetorizado
10000,10000,10,1000,matrix_2.txt,100,13.324873,0.242163,0.050903,vetorizado
10000,10000,10,1000,matrix_3.txt,100,13.564739,0.234923,0.013915,vetorizado
10000,10000,10,1000,matrix_4.txt,100,14.675384,0.222832,0.003863,vetorizado
10000,10000,10,1000,matrix_5.txt,100,14.331423,0.226860,0.047350,vetorizado
10000,10000,10,1000,matrix_1.txt,100,14.330523,0.220790,0.004006,vetorizado
10000,10000,10,1000,matrix_2.txt,100,13.999048,0.240740,0.050327,vetorizado
10000,10000,10,1000,matrix_3.txt,100,13.326520,0.235545,0.013936,vetorizado
10000,10000,10,1000,matrix_4.txt,100,13.174783,0.219440,0.003819,vetorizado
10000,10000,10,1000,matrix_5.txt,100,13.036942,0.225137,0.047572,vetorizado
